crop,name,date,pno,ll,lw
박진순,참외,2017-11-27,1,3.3,4.7
박진순,참외,2017-11-27,2,3.7,4.4
박진순,참외,2017-11-27,3,3,4.3
박진순,참외,2017-11-27,4,3.4,4.4
박진순,참외,2017-11-27,5,3.4,3.9
박진순,참외,2017-12-04,1,8,9.4
박진순,참외,2017-12-04,2,8.3,9.4
박진순,참외,2017-12-04,3,9,10.2
박진순,참외,2017-12-04,4,9.1,10.7
박진순,참외,2017-12-04,5,8,9.3
박진순,참외,2017-12-12,1,9.4,10.6
박진순,참외,2017-12-12,2,9.8,12.6
박진순,참외,2017-12-12,3,9.4,11.3
박진순,참외,2017-12-12,4,9.2,10.8
박진순,참외,2017-12-12,5,8.8,10.3
박진순,참외,2017-12-20,1,11.3,12.2
박진순,참외,2017-12-20,2,11.6,14.1
박진순,참외,2017-12-20,3,11.4,13.1
박진순,참외,2017-12-20,4,12.2,14.9
박진순,참외,2017-12-20,5,9.8,12.2
박진순,참외,2017-12-26,1,10.5,12.6
박진순,참외,2017-12-26,2,11.6,14.4
박진순,참외,2017-12-26,3,12.3,13.7
박진순,참외,2017-12-26,4,11.2,13.7
박진순,참외,2017-12-26,5,11,12.1
박진순,참외,2018-01-02,1,9.4,12.1
박진순,참외,2018-01-02,2,11.7,15
박진순,참외,2018-01-02,3,13.6,14.5
박진순,참외,2018-01-02,4,13,16.5
박진순,참외,2018-01-02,5,13.4,15
박진순,참외,2018-01-11,1,12.9,14.8
박진순,참외,2018-01-11,2,12.9,15.1
박진순,참외,2018-01-11,3,13.3,14.7
박진순,참외,2018-01-11,4,11.5,14
박진순,참외,2018-01-11,5,14.1,15.8
박진순,참외,2018-01-17,1,11.8,13
박진순,참외,2018-01-17,2,12.1,13.2
박진순,참외,2018-01-17,3,12.8,13.5
박진순,참외,2018-01-17,4,12,13.3
박진순,참외,2018-01-17,5,12.6,14.1
박진순,참외,2018-01-23,1,15.6,15.6
박진순,참외,2018-01-23,2,13.9,17.2
박진순,참외,2018-01-23,3,13.6,14.5
박진순,참외,2018-01-23,4,13.3,15.1
박진순,참외,2018-01-23,5,10,13.5
박진순,참외,2018-01-30,1,13,12
박진순,참외,2018-01-30,2,16.2,15.8
박진순,참외,2018-01-30,3,14.2,15.1
박진순,참외,2018-01-30,4,15.9,16.3
박진순,참외,2018-01-30,5,14.4,15
박진순,참외,2018-02-06,1,15.1,15.5
박진순,참외,2018-02-06,2,15.1,16.5
박진순,참외,2018-02-06,3,12.6,14
박진순,참외,2018-02-06,4,13,18.3
박진순,참외,2018-02-06,5,9.3,12.6
박진순,참외,2018-02-13,1,14.2,15.1
박진순,참외,2018-02-13,2,12.6,14
박진순,참외,2018-02-13,3,12.5,14.7
박진순,참외,2018-02-13,4,12,14
박진순,참외,2018-02-13,5,15.8,17.5
박진순,참외,2018-02-20,1,12.1,13.9
박진순,참외,2018-02-20,2,14.5,15
박진순,참외,2018-02-20,3,12.6,14.1
박진순,참외,2018-02-20,4,15.8,16.1
박진순,참외,2018-02-20,5,12.2,12.3
박진순,참외,2018-02-27,1,11.4,12
박진순,참외,2018-02-27,2,8.3,10.2
박진순,참외,2018-02-27,3,11,11
박진순,참외,2018-02-27,4,10.7,10.7
박진순,참외,2018-02-27,5,12,11
박진순,참외,2018-03-12,1,14,12.5
박진순,참외,2018-03-12,2,11.8,13
박진순,참외,2018-03-12,3,12.1,13.5
박진순,참외,2018-03-12,4,12.6,14
박진순,참외,2018-03-12,5,12.1,13.3
박진순,참외,2018-03-22,1,10,11
박진순,참외,2018-03-22,2,12.4,12
박진순,참외,2018-03-22,3,11.9,11.6
박진순,참외,2018-03-22,4,9.5,10
박진순,참외,2018-03-22,5,7,7.5
박진순,참외,2018-03-26,1,9,9.3
박진순,참외,2018-03-26,2,8.5,8.5
박진순,참외,2018-03-26,3,10,11
박진순,참외,2018-03-26,4,10.2,9.4
박진순,참외,2018-03-26,5,11,12.2
박진순,참외,2018-04-05,1,13.3,14.1
박진순,참외,2018-04-05,2,10.3,11.4
박진순,참외,2018-04-05,3,12,12
박진순,참외,2018-04-05,4,10,11
박진순,참외,2018-04-05,5,9,9.5
박진순,참외,2018-04-12,1,11.4,10.7
박진순,참외,2018-04-12,2,12.1,11.5
박진순,참외,2018-04-12,3,10.2,10.3
박진순,참외,2018-04-12,4,11.4,11.7
박진순,참외,2018-04-12,5,10.4,9.4
박진순,참외,2018-04-19,1,10.5,10.9
박진순,참외,2018-04-19,2,11.8,11.8
박진순,참외,2018-04-19,3,11.5,12.3
박진순,참외,2018-04-19,4,8.5,8.7
박진순,참외,2018-04-19,5,10.9,11.2
박진순,참외,2018-04-26,1,10.1,11.6
박진순,참외,2018-04-26,2,11.1,11.5
박진순,참외,2018-04-26,3,10.1,11.2
박진순,참외,2018-04-26,4,9.2,9.3
박진순,참외,2018-04-26,5,12.1,10.7
박진순,참외,2018-05-03,1,8.6,9.9
박진순,참외,2018-05-03,2,11.5,11.2
박진순,참외,2018-05-03,3,8.3,9.9
박진순,참외,2018-05-03,4,7.1,8.3
박진순,참외,2018-05-03,5,10.5,12.2
박진순,참외,2018-05-10,1,9.7,8.8
박진순,참외,2018-05-10,2,9,8.9
박진순,참외,2018-05-10,3,9,9.7
박진순,참외,2018-05-10,4,9.2,9.3
박진순,참외,2018-05-10,5,8.4,8.8
박진순,참외,2018-05-17,1,8.6,8
박진순,참외,2018-05-17,2,9.1,9.5
박진순,참외,2018-05-17,3,8.3,8.1
박진순,참외,2018-05-17,4,10.8,11
